id,word,ipa,meaning,level,unit,image,sentence_en,sentence_vi
"vocab-L1-L1-U01-W01","red","/rˈɛd/","màu đỏ","L1","L1-U01","🔴","The balloon is red.","Quả bóng bay có màu đỏ."
"vocab-L1-L1-U01-W02","blue","/blˈu/","màu xanh dương","L1","L1-U01","🔵","The balloon is blue.","Quả bóng bay có màu xanh dương."
"vocab-L1-L1-U01-W03","yellow","/jˈɛloʊ/","màu vàng","L1","L1-U01","🟡","The balloon is yellow.","Quả bóng bay có màu vàng."
"vocab-L1-L1-U01-W04","green","/ɡrˈin/","màu xanh lá","L1","L1-U01","🟢","The balloon is green.","Quả bóng bay có màu xanh lá."
"vocab-L1-L1-U01-W05","orange","/ˈɔrəndʒ/","màu cam","L1","L1-U01","🟠","The balloon is orange.","Quả bóng bay có màu cam."
"vocab-L1-L1-U01-W06","purple","/pˈɝpəl/","màu tím","L1","L1-U01","🟣","The balloon is purple.","Quả bóng bay có màu tím."
"vocab-L1-L1-U01-W07","pink","/pˈɪŋk/","màu hồng","L1","L1-U01","🌸","The balloon is pink.","Quả bóng bay có màu hồng."
"vocab-L1-L1-U01-W08","black","/blˈæk/","màu đen","L1","L1-U01","🖤","The balloon is black.","Quả bóng bay có màu đen."
"vocab-L1-L1-U01-W09","white","/wˈaɪt/","màu trắng","L1","L1-U01","⚪","The balloon is white.","Quả bóng bay có màu trắng."
"vocab-L1-L1-U01-W10","brown","/brˈaʊn/","màu nâu","L1","L1-U01","🟤","The balloon is brown.","Quả bóng bay có màu nâu."
"vocab-L1-L1-U02-W01","one","/wˈʌn/","một","L1","L1-U02","1️⃣","I can count to one.","Bé có thể đếm đến một."
"vocab-L1-L1-U02-W02","two","/tˈu/","hai","L1","L1-U02","2️⃣","I can count to two.","Bé có thể đếm đến hai."
"vocab-L1-L1-U02-W03","three","/θrˈi/","ba","L1","L1-U02","3️⃣","I can count to three.","Bé có thể đếm đến ba."
"vocab-L1-L1-U02-W04","four","/fˈɔr/","bốn","L1","L1-U02","4️⃣","I can count to four.","Bé có thể đếm đến bốn."
"vocab-L1-L1-U02-W05","five","/fˈaɪv/","năm","L1","L1-U02","5️⃣","I can count to five.","Bé có thể đếm đến năm."
"vocab-L1-L1-U02-W06","six","/sˈɪks/","sáu","L1","L1-U02","6️⃣","I can count to six.","Bé có thể đếm đến sáu."
"vocab-L1-L1-U02-W07","seven","/sˈɛvən/","bảy","L1","L1-U02","7️⃣","I can count to seven.","Bé có thể đếm đến bảy."
"vocab-L1-L1-U02-W08","eight","/ˈeɪt/","tám","L1","L1-U02","8️⃣","I can count to eight.","Bé có thể đếm đến tám."
"vocab-L1-L1-U02-W09","nine","/nˈaɪn/","chín","L1","L1-U02","9️⃣","I can count to nine.","Bé có thể đếm đến chín."
"vocab-L1-L1-U02-W10","ten","/tˈɛn/","mười","L1","L1-U02","🔟","I can count to ten.","Bé có thể đếm đến mười."
